iter	RMSE
0	0.05063314012
1	0.04867597935
2	0.04683323848
3	0.04510466095
4	0.04348813596
5	0.04197211904
6	0.04055115311
7	0.03922081249
8	0.03798312586
9	0.03682915713
10	0.03575203621
11	0.03475191819
12	0.03382047995
13	0.03295682193
14	0.03215932805
15	0.03142157907
16	0.03086382396
17	0.03034008396
18	0.02974003129
19	0.02917619857
20	0.02865832985
21	0.02818867183
22	0.02782756018
23	0.02741869515
24	0.02711717548
25	0.02676699261
26	0.02651589344
27	0.02621166589
28	0.02593901288
29	0.02574882368
30	0.02551342254
31	0.02530081043
32	0.02509980735
33	0.02492037775
34	0.02475924041
35	0.02460999283
36	0.02447625134
37	0.02435532753
38	0.024243855
39	0.02413884327
40	0.02404432472
41	0.02395931763
42	0.02387877636
43	0.02380548919
44	0.02374222633
45	0.02368064804
46	0.0236291411
47	0.02357355589
48	0.02352666916
49	0.02348426008
50	0.02344919983
51	0.02340410052
52	0.0233805178
53	0.02335883377
54	0.02331944701
55	0.02328436346
56	0.02326593371
57	0.02323401926
58	0.02321542549
59	0.02320220655
60	0.02320217784
61	0.02318015501
62	0.02317076126
63	0.02316157006
64	0.02314537153
65	0.02312948363
66	0.02311571053
67	0.02310765657
68	0.02309525386
69	0.02308796867
70	0.02308150024
71	0.02306782253
72	0.02306781516
73	0.02305510547
74	0.02304354222
75	0.02303407474
76	0.02301797069
77	0.02301337942
78	0.02301336838
79	0.02301328823
80	0.02301325328
81	0.02301258861
82	0.02299576089
83	0.02298839237
84	0.02298612394
85	0.02297679524
86	0.0229601945
87	0.02294513863
88	0.02294511569
89	0.02294509833
90	0.02293446142
91	0.02293100725
92	0.02293100254
93	0.02292968189
94	0.02292757756
95	0.02292757338
96	0.02292509018
97	0.02291992989
98	0.0229107731
99	0.0229107566
100	0.02290948374
101	0.02290946696
102	0.02290920175
103	0.02290185985
104	0.02290061751
105	0.02290051979
106	0.02290049484
107	0.02289652764
108	0.02289651691
109	0.02289649301
110	0.02289457831
111	0.02288797538
112	0.02288668037
113	0.02288483293
114	0.02288306587
115	0.02288305568
116	0.02287499843
117	0.02287330295
118	0.02287328481
119	0.02286862799
120	0.02286862485
121	0.02286861587
122	0.02286857231
123	0.02286855707
124	0.02286854907
125	0.02286695142
126	0.0228600815
127	0.02286007468
128	0.02286002316
129	0.02284946856
130	0.02284946276
131	0.0228494427
132	0.02284943664
133	0.02284798909
134	0.02284585925
135	0.02284583875
136	0.02284582182
137	0.02284317973
138	0.02284181074
139	0.02283645268
140	0.02283644802
141	0.02283035144
142	0.02283034941
143	0.0228297404
144	0.02282924104
145	0.02282920821
146	0.02282920457
147	0.02282919026
148	0.02282917529
149	0.02282903787
150	0.02282105245
151	0.02282100867
152	0.02281220209
153	0.02281219797
154	0.02281219707
155	0.02281083908
156	0.02280818083
157	0.02280816102
158	0.02279649554
159	0.02279645412
160	0.02279513424
161	0.02279508689
162	0.02278823442
163	0.02278700251
164	0.02278458107
165	0.0227840297
166	0.02277686694
167	0.02277569027
168	0.02277117303
169	0.02276039876
170	0.02275967703
171	0.02275967504
172	0.0227596725
173	0.02275964632
174	0.0227574758
175	0.02275571774
176	0.02275501744
177	0.0227488161
178	0.02274879812
179	0.0227472238
180	0.02274721012
181	0.02274715675
182	0.02274704021
183	0.02274687819
184	0.02274264914
185	0.02274252902
186	0.02274252855
187	0.02274251716
188	0.02274247209
189	0.02273952505
190	0.0227394492
191	0.02273568452
192	0.02273564939
193	0.02273564436
194	0.02273307166
195	0.02273306566
196	0.02273272771
197	0.02273272656
198	0.02273272551
199	0.02273248111
200	0.02272645696
201	0.02272645596
202	0.02272635514
203	0.02272631591
204	0.02271618897
205	0.02270994896
206	0.02270199148
207	0.02270196016
208	0.02270061079
209	0.0226998738
210	0.0226988012
211	0.02269823031
212	0.02269819654
213	0.02269811716
214	0.0226979691
215	0.02269789769
216	0.02269582393
217	0.02268998219
218	0.02268994436
219	0.0226899233
220	0.02268991099
221	0.02268403896
222	0.02268339605
223	0.02268141837
224	0.02268138971
225	0.02267861609
226	0.02267859833
227	0.02267680632
228	0.02267617852
229	0.02267421882
230	0.02267418507
231	0.02267321685
232	0.02266903783
233	0.02266433153
234	0.02266260502
235	0.02266098384
236	0.02266097355
237	0.0226532689
238	0.02265326819
239	0.02265325159
240	0.02265324884
241	0.0226526846
242	0.02264795858
243	0.02264339516
244	0.02264296471
245	0.02264161077
246	0.02263880363
247	0.02263822572
248	0.0226377188
249	0.02263762054
250	0.02263760718
251	0.0226375357
252	0.02263058348
253	0.02263057691
254	0.02262835654
255	0.02262835604
256	0.02262794171
257	0.02262736853
258	0.02262489211
259	0.02262461765
260	0.02262035148
261	0.02261844956
262	0.02261778347
263	0.02261765952
264	0.02261477683
265	0.0226138351
266	0.02260742837
267	0.0226028564
268	0.02259904074
269	0.0225990002
270	0.02259532329
271	0.02259454633
272	0.02259453686
273	0.02259398219
274	0.02259096097
275	0.02259074409
276	0.02258811625
277	0.02258790179
278	0.02258150542
279	0.02258150515
280	0.02258133458
281	0.0225750165
282	0.0225749414
283	0.02257152555
284	0.02257150975
