,TotalPremium,TotalClaims,SumInsured,CalculatedPremiumPerTerm,VehicleAge,LossRatio,PremiumRate
TotalPremium,1.0,,-0.08376109403193163,0.4170796749944488,-0.07542817821102046,,-0.10789618268100654
TotalClaims,,,,,,,
SumInsured,-0.08376109403193163,,1.0,-0.049807643673157403,-0.0037267344202133157,,-0.13788994474103694
CalculatedPremiumPerTerm,0.4170796749944488,,-0.049807643673157403,1.0,-0.06348259068365397,,-0.08106520420204424
VehicleAge,-0.07542817821102046,,-0.0037267344202133157,-0.06348259068365397,1.0,,-0.00109762358549082
LossRatio,,,,,,,
PremiumRate,-0.10789618268100654,,-0.13788994474103694,-0.08106520420204424,-0.00109762358549082,,1.0
